OS,Command,Function
Windows,active,Activates a disk partition.
Windows,add,Adds a new user or group to the system.
Windows,add alias,Creates an alias for a command.
Windows,add volume,Adds a new volume to a disk.
Windows,adprep,Prepares a Windows forest and domains for a new Windows Server operating system.
Windows,append,Appends data to a file.
Windows,arp,Displays and modifies the IP-to-Physical address translation tables used by address resolution protocol (ARP).
Windows,assign,Assigns a drive letter or mount point to a volume.
Windows,assoc,Displays or modifies file extension associations.
Windows,at,Schedules commands and programs to run on a computer at a specified time and date.
Windows,atmadm,Manages ATM connections.
Windows,attach-vdisk,Attaches a virtual hard disk (VHD) file.
Windows,attrib,Displays or changes file attributes.
Windows,attributes,Displays or changes file or directory attributes.
Windows,attributes disk,Displays or changes disk attributes.
Windows,attributes volume,Displays or changes volume attributes.
Windows,auditpol,Displays or changes audit policies.
Windows,auditpol backup,Backs up audit policies.
Windows,auditpol clear,Clears audit policies.
Windows,auditpol get,Gets audit policies.
Windows,auditpol list,Lists audit policies.
Windows,auditpol remove,Removes audit policies.
Windows,auditpol resourcesacl,Manages audit policy resources ACLs.
Windows,auditpol restore,Restores audit policies.
Windows,auditpol set,Sets audit policies.
Windows,autochk,Checks the integrity of a file system.
Windows,autoconv,Converts file systems.
Windows,autofmt,Formats file systems.
Windows,automount,Enables or disables automatic mounting of new volumes.
Windows,bcdboot,Creates or repairs a system partition.
Windows,bcdedit,Manages boot configuration data.
Windows,bdehdcfg,Prepares a hard disk for BitLocker Drive Encryption.
Windows,bdehdcfg driveinfo,Displays information about a drive.
Windows,bdehdcfg newdriveletter,Assigns a new drive letter to a volume.
Windows,bdehdcfg quiet,Runs bdehdcfg in quiet mode.
Windows,bdehdcfg restart,Restarts the computer after bdehdcfg completes.
Windows,bdehdcfg size,Specifies the size of the system partition.
Windows,bdehdcfg target,Specifies the target drive for BitLocker.
Windows,begin backup,Begins a backup operation.
Windows,begin restore,Begins a restore operation.
Windows,bitsadmin,Manages Background Intelligent Transfer Service (BITS) jobs.
Windows,bitsadmin addfile,Adds a file to a BITS job.
Windows,bitsadmin addfileset,Adds a set of files to a BITS job.
Windows,bitsadmin addfilewithranges,Adds a file with ranges to a BITS job.
Windows,bitsadmin cache,Manages the BITS cache.
Windows,bitsadmin cache and delete,Deletes a file from the BITS cache.
Windows,bitsadmin cache and deleteurl,Deletes a URL from the BITS cache.
Windows,bitsadmin cache and getexpirationtime,Gets the expiration time of a file in the BITS cache.
Windows,bitsadmin cache and getlimit,Gets the size limit of the BITS cache.
Windows,bitsadmin cache and help,Displays help for bitsadmin cache.
Windows,bitsadmin cache and info,Displays information about the BITS cache.
Windows,bitsadmin cache and list,Lists files in the BITS cache.
